%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value,field.torques1.timeStamp,field.torques1.joint_uri,field.torques1.unit,field.torques1.value,field.torques2.timeStamp,field.torques2.joint_uri,field.torques2.unit,field.torques2.value
1578500811119263083,,,0.0,0,arm_joint_2,N m,0.58863827958,0,arm_joint_3,N m,0.496468062916,0,arm_joint_4,N m,-0.2934201424
1578500811120230927,,,0.0,0,arm_joint_2,N m,0.58863827958,0,arm_joint_3,N m,0.496468062916,0,arm_joint_4,N m,-0.2934201424
1578500811121247982,,,0.0,0,arm_joint_2,N m,0.586895717625,0,arm_joint_3,N m,0.495057566825,0,arm_joint_4,N m,-0.295842052399
1578500811122230284,,,0.0,0,arm_joint_2,N m,0.598122372834,0,arm_joint_3,N m,0.503930047753,0,arm_joint_4,N m,-0.295908015954
1578500811123245081,,,0.0,0,arm_joint_2,N m,0.582694478065,0,arm_joint_3,N m,0.491482602702,0,arm_joint_4,N m,-0.293681642893
1578500811124229045,,,0.0,0,arm_joint_2,N m,0.594054636392,0,arm_joint_3,N m,0.490142127435,0,arm_joint_4,N m,-0.296101108637
1578500811125243218,,,0.0,0,arm_joint_2,N m,0.592161660972,0,arm_joint_3,N m,0.49892945573,0,arm_joint_4,N m,-0.293787637385
1578500811126230693,,,0.0,0,arm_joint_2,N m,0.577605725386,0,arm_joint_3,N m,0.487348762915,0,arm_joint_4,N m,-0.293748138167
1578500811127266981,,,0.0,0,arm_joint_2,N m,0.588892260533,0,arm_joint_3,N m,0.486098183714,0,arm_joint_4,N m,-0.295984850033
1578500811128223902,,,0.0,0,arm_joint_2,N m,0.587531340777,0,arm_joint_3,N m,0.46437727871,0,arm_joint_4,N m,-0.295910555652
1578500811129227603,,,0.0,0,arm_joint_2,N m,0.572718760774,0,arm_joint_3,N m,0.48353834185,0,arm_joint_4,N m,-0.295931354599
1578500811130236042,,,0.0,0,arm_joint_2,N m,0.570931475661,0,arm_joint_3,N m,0.492390832771,0,arm_joint_4,N m,-0.295974183163
1578500811131219879,,,0.0,0,arm_joint_2,N m,0.568445696611,0,arm_joint_3,N m,0.490159568421,0,arm_joint_4,N m,-0.296210302149
