%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value
1576487413931945808,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487413992902102,,,0.0,1576487413000000000,arm_joint_5,s^-1 rad,-0.5
1576487414054133932,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414114493171,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414172108723,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414233039177,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414352664857,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414355474843,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414414978590,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414475104604,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414537213790,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414598408662,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414658107681,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414717874471,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414780255284,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414840997396,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414903839480,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487414964092783,,,0.0,1576487414000000000,arm_joint_5,s^-1 rad,-0.5
1576487415023934334,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415083074457,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415145608384,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415208647640,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415271908805,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415332027761,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415391834162,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415511923116,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415514712386,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415576699898,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415635486990,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415699687761,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415764476963,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415821921147,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415886027979,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487415949218259,,,0.0,1576487415000000000,arm_joint_5,s^-1 rad,-0.5
1576487416008973840,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416071223329,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416129957090,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416190643006,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416308819939,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416311418773,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416373673285,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,-0.5
1576487416456392659,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416519599408,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416581901698,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416643808666,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416706893544,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416767854701,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416828430720,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416890340363,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487416951752745,,,0.0,1576487416000000000,arm_joint_5,s^-1 rad,1.0
1576487417012254710,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417075908137,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417135562864,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417196725513,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417257795247,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417318060113,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417379414341,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417443196287,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417502276636,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417579570051,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417642864693,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417705174986,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417768612624,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417827457761,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417888646594,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
1576487417949489061,,,0.0,1576487417000000000,arm_joint_5,s^-1 rad,1.0
