i;ii;iii;iv
-0.0055645;0.031085;0.057301;0.00059547
-0.0058919;0.030234;0.056814;0.0002334
-0.006185;0.029363;0.056254;-0.00015246
-0.0064397;0.028474;0.055624;-0.00056166
-0.0066546;0.027568;0.054931;-0.00099366
-0.0068301;0.026646;0.054177;-0.001448
-0.0069682;0.02571;0.053366;-0.0019243
-0.0070721;0.02476;0.052501;-0.0024225
-0.0071455;0.023798;0.051585;-0.0029431
-0.0071927;0.022829;0.050617;-0.0034868
-0.007218;0.021858;0.049598;-0.0040543
-0.0072254;0.020893;0.048529;-0.0046465
-0.0072188;0.019944;0.047409;-0.0052637
-0.0072014;0.01902;0.046238;-0.0059059
-0.0071764;0.018134;0.045017;-0.0065723
-0.0071461;0.017294;0.04375;-0.0072613
-0.0071127;0.01651;0.04244;-0.0079699
-0.0070778;0.015787;0.041094;-0.0086941
-0.0070425;0.01513;0.039718;-0.0094284
-0.0070076;0.014538;0.038322;-0.010166
-0.0069732;0.014007;0.036914;-0.010898
-0.0069392;0.013531;0.035501;-0.011615
-0.0069047;0.013102;0.034093;-0.012304
-0.0068688;0.012712;0.032696;-0.012953
-0.0068301;0.012349;0.031317;-0.013545
-0.0067867;0.012005;0.029961;-0.014066
-0.0067367;0.011671;0.028633;-0.014497
-0.0066775;0.011338;0.027336;-0.014823
-0.0066067;0.011;0.026072;-0.015028
-0.0065215;0.010653;0.024844;-0.015099
-0.0064191;0.010291;0.023652;-0.015027
-0.0062971;0.0099126;0.022497;-0.014807
-0.006153;0.0095162;0.021381;-0.01444
-0.0059851;0.0091012;0.020302;-0.013933
-0.0057918;0.0086684;0.019262;-0.013299
-0.0055727;0.0082197;0.01826;-0.012557
-0.005328;0.0077578;0.017295;-0.011728
-0.0050585;0.0072867;0.016367;-0.010834
-0.004766;0.0068108;0.015474;-0.0098993
-0.0044529;0.0063349;0.014614;-0.0089462
-0.0041223;0.005864;0.013785;-0.0079953
-0.0037778;0.005403;0.012984;-0.0070643
-0.0034234;0.0049564;0.012209;-0.0061678
-0.0030638;0.0045279;0.011455;-0.0053173
-0.0027041;0.0041205;0.010719;-0.0045217
-0.0023496;0.003736;0.0099994;-0.0037871
-0.0020057;0.0033754;0.0092915;-0.0031177
-0.0016779;0.0030387;0.0085931;-0.0025159
-0.001371;0.0027254;0.0079023;-0.0019823
-0.0010895;0.0024344;0.0072182;-0.0015161
-0.00083703;0.0021644;0.006541;-0.0011156
-0.00061613;0.0019136;0.0058717;-0.00077795
-0.00042814;0.0016803;0.0052125;-0.00049965
-0.00027321;0.0014625;0.0045663;-0.00027662
-0.00015042;0.0012588;0.0039369;-0.00010433
-5.7936e-05;0.0010675;0.003329;2.2017e-05
6.8164e-06;0.00088779;0.0027482;0.00010737
