idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv
193,242,0.1683218
196,242,0.1149764
199,242,0.06078884
202,242,0.09189426
205,242,0.09073552
208,242,0.09425441
211,242,0.07675084
214,242,0.05611376
217,242,0.1041439
220,242,0.06640483
223,242,0.09048021
226,242,0.05261786
229,242,0.07740511
232,242,0.06654391
235,242,0.07968848
238,242,0.07814985
241,242,0.08199703
244,242,0.08682343
247,242,0.08682343
250,242,0.08682343
253,242,0.08682343
256,242,0.08682343
259,242,0.08682343
262,242,0.08682343
265,242,0.08682343
268,242,0.08682343
271,242,0.08682343
274,242,0.08682343
277,242,0.08682343
280,242,0.08682343
283,242,0.08682343
286,242,0.08682343
289,242,0.08682343
292,242,0.08682343
295,242,0.08682343
298,242,0.08682343
100,245,0.09990016
103,245,0.02186497
106,245,0.03278133
109,245,0.03442198
112,245,0.06865812
115,245,0.01156638
118,245,0.07121811
121,245,0.08289523
124,245,0.06591884
127,245,0.08188226
130,245,0.08828681
133,245,0.08175125
136,245,0.1084887
139,245,0.1115583
142,245,0.1479434
145,245,0.1571253
148,245,0.1351653
151,245,0.1162814
154,245,0.1369414
157,245,0.1785111
160,245,0.0949622
163,245,0.1174987
166,245,0.1261574
169,245,0.1426207
172,245,0.1407418
175,245,0.1470705
178,245,0.1549343
181,245,0.1590043
184,245,0.1558878
187,245,0.15266
190,245,0.1663702
193,245,0.1562788
196,245,0.1404122
199,245,0.1130018
202,245,0.1110734
205,245,0.1226959
208,245,0.1403107
211,245,0.08349282
214,245,0.08103202
217,245,0.1277737
220,245,0.07612577
223,245,0.06766739
226,245,0.06121325
229,245,0.05484881
232,245,0.06508484
235,245,0.0700289
238,245,0.07070029
241,245,0.07253102
244,245,0.07236492
247,245,0.0729393
250,245,0.0729393
253,245,0.0729393
256,245,0.0729393
259,245,0.0729393
262,245,0.0729393
265,245,0.0729393
268,245,0.0729393
271,245,0.0729393
274,245,0.0729393
277,245,0.0729393
280,245,0.0729393
283,245,0.0729393
286,245,0.0729393
289,245,0.0729393
292,245,0.0729393
295,245,0.0729393
298,245,0.0729393
100,248,0.08576518
103,248,0.01792788
106,248,0.03753858
109,248,0.02345897
112,248,0.05461589
115,248,0.0579495
118,248,0.09793162
121,248,0.05874427
124,248,0.07783116
127,248,0.08405707
130,248,0.1075745
133,248,0.06305106
136,248,0.0800596
139,248,0.06990193
142,248,0.1078863
145,248,0.1360074
148,248,0.1094355
151,248,0.1050056
154,248,0.08542372
157,248,0.09813123
160,248,0.09749413
163,248,0.1108896
166,248,0.09901423
169,248,0.09864731
172,248,0.113779
175,248,0.1131311
178,248,0.1253385
181,248,0.1349984
184,248,0.1414072
187,248,0.1369406
190,248,0.1445745
193,248,0.115313
196,248,0.08928669
199,248,0.07967693
202,248,0.08000957
205,248,0.09280264
208,248,0.1045713
211,248,0.09187126
214,248,0.06744112
217,248,0.08835602
220,248,0.07299347
223,248,0.0669972
226,248,0.04755652
229,248,0.04435828
232,248,0.06847817
235,248,0.06832123
238,248,0.07177255
241,248,0.07190443
244,248,0.07087468
247,248,0.07127195
250,248,0.07188514
253,248,0.07188514
256,248,0.07188514
259,248,0.07188514
262,248,0.07188514
265,248,0.07188514
268,248,0.07188514
271,248,0.07188514
274,248,0.07188514
277,248,0.07188514
280,248,0.07188514
283,248,0.07188514
286,248,0.07188514
289,248,0.07188514
292,248,0.07188514
295,248,0.07188514
298,248,0.07188514
100,251,0.06627012
103,251,0.01848918
106,251,0.02438671
109,251,0.01030393
112,251,0.03882686
115,251,0.05697752
118,251,0.08660453
121,251,0.07415576
124,251,0.08276356
127,251,0.1085855
130,251,0.1014696
133,251,0.07637841
136,251,0.1106516
139,251,0.1320593
142,251,0.1489985
145,251,0.1615709
148,251,0.1460406
151,251,0.1341167
154,251,0.1196793
157,251,0.1164666
160,251,0.1206243
163,251,0.1336177
166,251,0.1157295
169,251,0.1252617
172,251,0.14937
175,251,0.142792
178,251,0.1500804
181,251,0.1358395
184,251,0.1327988
187,251,0.1377858
190,251,0.1502234
193,251,0.1584182
196,251,0.1533101
199,251,0.1272845
202,251,0.1216646
205,251,0.1225187
208,251,0.1241191
211,251,0.1114482
214,251,0.1105989
217,251,0.1135679
220,251,0.1041798
223,251,0.09517507
226,251,0.08927732
229,251,0.08673592
232,251,0.08463299
235,251,0.09854551
238,251,0.09702988
241,251,0.08033011
244,251,0.08065099
247,251,0.08915155
250,251,0.09323665
253,251,0.09404314
256,251,0.09404314
259,251,0.09404314
262,251,0.09404314
265,251,0.09404314
268,251,0.09404314
271,251,0.09404314
274,251,0.09404314
277,251,0.09404314
280,251,0.09404314
283,251,0.09404314
286,251,0.09404314
289,251,0.09404314
292,251,0.09404314
295,251,0.09404314
298,251,0.09404314
100,254,0.06644102
103,254,0.01931828
106,254,0.02521177
109,254,0.06890139
112,254,0.07375761
115,254,0.02708631
118,254,0.01791949
121,254,0.05926732
124,254,0.07765623
127,254,0.09664432
130,254,0.06747611
133,254,0.08303136
136,254,0.1039786
139,254,0.1327669
142,254,0.1535629
145,254,0.1719082
148,254,0.146408
151,254,0.1344519
154,254,0.1318993
157,254,0.1263057
160,254,0.1312929
163,254,0.1496849
166,254,0.1279963
169,254,0.1279615
172,254,0.1446386
175,254,0.1349008
178,254,0.149279
181,254,0.1371558
184,254,0.1519042
187,254,0.1522805
190,254,0.1453297
