time,j4_torque,j4_torque_cmd
140.367,0.474351,0.499698
140.368,0.474351,0.499698
140.369,0.474351,0.499698
140.37,0.474351,0.499698
140.371,0.474351,0.499698
140.372,0.474351,0.499698
140.373,0.474351,0.499698
140.374,0.474351,0.499698
140.375,0.474351,0.499698
140.376,0.474351,0.499698
140.377,0.474351,0.499698
140.378,0.474569409523818,0.499698
140.379,0.481477605494578,0.499698
140.38,0.481593,0.499698
140.381,0.481593,0.499698
140.382,0.481593,0.499698
140.383,0.481593,0.499698
140.384,0.481593,0.499698
140.385,0.481593,0.499698
140.386,0.481593,0.499698
140.387,0.481247207897438,0.499698
140.388,0.47073,0.499698
140.389,0.47073,0.499698
140.39,0.47073,0.499698
140.391,0.47073,0.499698
140.392,0.47073,0.499698
140.393,0.47073,0.499698
140.394,0.47073,0.499698
140.395,0.47073,0.499698
140.396,0.47073,0.499698
140.397,0.47073,0.499698
140.398,0.47073,0.499698
140.399,0.47073,0.499698
140.4,0.47073,0.499698
140.401,0.47073,0.499698
140.402,0.47073,0.499698
140.403,0.47073,0.499698
140.404,0.477788135751286,0.499698
140.405,0.477972,0.499698
140.406,0.477972,0.499698
140.407,0.477972,0.499698
140.408,0.477972,0.499698
140.409,0.477972,0.499698
140.41,0.477972,0.499698
140.411,0.477972,0.499698
140.412,0.477972,0.499698
140.413,0.463488,0.499698
140.414,0.463488,0.499698
140.415,0.463488,0.499698
140.416,0.463488,0.499698
140.417,0.463488,0.499698
140.418,0.463488,0.499698
140.419,0.463488,0.499698
140.42,0.463488,0.499698
140.421,0.474351,0.499698
140.422,0.474351,0.499698
140.423,0.474351,0.499698
140.424,0.474351,0.499698
140.425,0.474351,0.499698
140.426,0.474351,0.499698
140.427,0.474351,0.499698
140.428,0.474351,0.499698
140.429,0.467424311797817,0.499698
140.43,0.467109,0.499698
140.431,0.467109,0.499698
140.432,0.467109,0.499698
140.433,0.467109,0.499698
140.434,0.467109,0.499698
140.435,0.467109,0.499698
140.436,0.467109,0.499698
140.437,0.467386279571376,0.499698
140.438,0.474351,0.499698
140.439,0.474351,0.499698
140.44,0.474351,0.499698
140.441,0.474351,0.499698
140.442,0.474351,0.499698
140.443,0.474351,0.499698
140.444,0.474351,0.499698
140.445,0.474351,0.499698
140.446,0.474351,0.499698
140.447,0.474351,0.499698
140.448,0.474351,0.499698
140.449,0.474351,0.499698
140.45,0.474351,0.499698
140.451,0.474351,0.499698
140.452,0.474351,0.499698
140.453,0.474351,0.499698
140.454,0.47396691341816,0.499698
140.455,0.463488,0.499698
140.456,0.463488,0.499698
140.457,0.463488,0.499698
140.458,0.463488,0.499698
140.459,0.463488,0.499698
140.46,0.463488,0.499698
140.461,0.463488,0.499698
140.462,0.463488,0.499698
140.463,0.456390602796484,0.499698
140.464,0.456246,0.499698
140.465,0.456246,0.499698
140.466,0.456246,0.499698
140.467,0.456246,0.499698
140.468,0.456246,0.499698
140.469,0.456246,0.499698
140.47,0.456246,0.499698
140.471,0.466016788724342,0.499698
140.472,0.467109,0.499698
140.473,0.467109,0.499698
140.474,0.467109,0.499698
140.475,0.467109,0.499698
140.476,0.467109,0.499698
140.477,0.467109,0.499698
140.478,0.467109,0.499698
140.479,0.467109,0.499698
140.48,0.470541984665071,0.499698
140.481,0.47073,0.499698
140.482,0.47073,0.499698
140.483,0.47073,0.499698
140.484,0.47073,0.499698
140.485,0.47073,0.499698
140.486,0.47073,0.499698
140.487,0.470801700657916,0.499698
140.488,0.474351,0.499698
140.489,0.474351,0.499698
140.49,0.474351,0.499698
140.491,0.474351,0.499698
140.492,0.474351,0.499698
140.493,0.474351,0.499698
140.494,0.474351,0.499698
140.495,0.474351,0.499698
140.496,0.474351,0.499698
140.497,0.477972,0.499698
140.498,0.477972,0.499698
140.499,0.477972,0.499698
140.5,0.477972,0.499698
140.501,0.477972,0.499698
140.502,0.477972,0.499698
140.503,0.477972,0.499698
140.504,0.477972,0.499698
140.505,0.477972,0.499698
140.506,0.477972,0.499698
140.507,0.477972,0.499698
140.508,0.477972,0.499698
140.509,0.477972,0.499698
140.51,0.477972,0.499698
140.511,0.477972,0.499698
140.512,0.477972,0.499698
140.513,0.474415036217749,0.499698
140.514,0.474351,0.499698
140.515,0.474351,0.499698
140.516,0.474351,0.499698
140.517,0.474351,0.499698
140.518,0.474351,0.499698
140.519,0.474351,0.499698
140.52,0.474351,0.499698
140.521,0.474264531818131,0.499698
140.522,0.47073,0.499698
140.523,0.47073,0.499698
140.524,0.47073,0.499698
140.525,0.47073,0.499698
140.526,0.47073,0.499698
140.527,0.47073,0.499698
140.528,0.47073,0.499698
140.529,0.47073,0.499698
140.53,0.477972,0.499698
140.531,0.477972,0.499698
140.532,0.477972,0.499698
140.533,0.477972,0.499698
140.534,0.477972,0.499698
140.535,0.477972,0.499698
140.536,0.477972,0.499698
140.537,0.477972,0.499698
140.538,0.477972,0.499698
140.539,0.467904784606157,0.499698
140.54,0.467109,0.499698
140.541,0.467109,0.499698
140.542,0.467109,0.499698
140.543,0.467109,0.499698
140.544,0.467109,0.499698
140.545,0.467109,0.499698
140.546,0.467109,0.499698
140.547,0.463488,0.499698
140.548,0.463488,0.499698
140.549,0.463488,0.499698
140.55,0.463488,0.499698
140.551,0.463488,0.499698
140.552,0.463488,0.499698
140.553,0.463488,0.499698
140.554,0.463488,0.499698
140.555,0.488835,0.499698
140.556,0.488835,0.499698
140.557,0.488835,0.499698
140.558,0.488835,0.499698
140.559,0.488835,0.499698
140.56,0.488835,0.499698
140.561,0.488835,0.499698
140.562,0.488835,0.499698
140.563,0.488835,0.499698
140.564,0.477972,0.499698
140.565,0.477972,0.499698
140.566,0.477972,0.499698
140.567,0.477972,0.499698
140.568,0.477972,0.499698
140.569,0.477972,0.499698
140.57,0.477972,0.499698
140.571,0.477972,0.499698
140.572,0.477972,0.499698
140.573,0.477972,0.499698
140.574,0.477972,0.499698
140.575,0.477972,0.499698
140.576,0.477972,0.499698
140.577,0.477972,0.499698
140.578,0.477972,0.499698
140.579,0.477972,0.499698
140.58,0.477972,0.499698
140.581,0.477972,0.499698
140.582,0.477972,0.499698
140.583,0.477972,0.499698
140.584,0.477972,0.499698
140.585,0.477972,0.499698
140.586,0.477972,0.499698
140.587,0.477972,0.499698
140.588,0.477972,0.499698
140.589,0.485035436329467,0.499698
140.59,0.485214,0.499698
140.591,0.485214,0.499698
140.592,0.485214,0.499698
140.593,0.485214,0.499698
140.594,0.485214,0.499698
140.595,0.485214,0.499698
140.596,0.485045051638407,0.499698
140.597,0.477972,0.499698
140.598,0.477972,0.499698
140.599,0.477972,0.499698
140.6,0.477972,0.499698
140.601,0.477972,0.499698
140.602,0.477972,0.499698
140.603,0.477972,0.499698
140.604,0.477972,0.499698
140.605,0.477972,0.499698
