%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1583774106824103980,571,1583774106824038617,base_link,-16.720696,2.047522,-8.451962,0.064054,0.815789,0.027835
1583774106824977389,572,1583774106824893615,base_link,-16.73082,2.16095,-7.709764,0.064844,0.812453,0.022739
1583774106825534571,573,1583774106825470114,base_link,-16.741691,2.087326,-7.89302,0.062712,0.813061,0.02393
1583774106826109789,574,1583774106826044860,base_link,-16.771025,2.150331,-7.778501,0.064412,0.814468,0.025061
1583774106826715026,575,1583774106826624920,base_link,-16.755894,2.108696,-7.813949,0.063494,0.814708,0.023984
1583774106827577373,576,1583774106827483486,base_link,-16.655979,2.135861,-7.960542,0.065059,0.813662,0.025227
1583774106828153573,577,1583774106828050807,base_link,-16.696877,2.159111,-8.026145,0.065182,0.815119,0.026492
1583774106828731898,578,1583774106828626248,base_link,-16.736957,2.103953,-8.228999,0.06347,0.814981,0.027459
1583774106829581481,579,1583774106829484007,base_link,-16.635772,2.114688,-8.392272,0.062992,0.813527,0.028241
1583774106830135491,580,1583774106830057275,base_link,-16.635283,2.12838,-8.370434,0.063734,0.815058,0.027429
1583774106830697895,581,1583774106830627998,base_link,-16.666861,2.117717,-8.334399,0.063946,0.812028,0.028887
1583774106831586409,582,1583774106831492265,base_link,-16.635341,2.130224,-8.414908,0.063744,0.814304,0.028677
1583774106832147002,583,1583774106832065778,base_link,-16.678094,2.140176,-8.49219,0.064414,0.814212,0.0276
1583774106832758399,584,1583774106832672595,base_link,-16.678379,2.122955,-8.393161,0.063009,0.813829,0.028452
1583774106833564655,585,1583774106833499298,base_link,-16.635463,2.163834,-8.413494,0.063655,0.813749,0.028245
1583774106834164866,586,1583774106834078169,base_link,-16.692157,2.066222,-8.4723,0.062922,0.814075,0.028218
1583774106834718759,587,1583774106834652406,base_link,-16.661609,2.050412,-8.650491,0.063801,0.814852,0.032844
1583774106835602434,588,1583774106835507566,base_link,-16.687052,2.123389,-9.077478,0.064593,0.813353,0.033762
1583774106836149823,589,1583774106836085110,base_link,-16.758319,2.145323,-8.93166,0.063396,0.814233,0.032523
1583774106836723045,590,1583774106836659545,base_link,-16.802632,2.071417,-8.811584,0.06252,0.813925,0.033176
1583774106837615607,591,1583774106837518228,base_link,-16.646534,2.143706,-8.812401,0.065102,0.814038,0.032592
1583774106838169695,592,1583774106838090644,base_link,-16.677196,2.111419,-8.641945,0.063564,0.812679,0.030487
1583774106838736061,593,1583774106838667893,base_link,-16.662444,2.114235,-8.518356,0.063605,0.81487,0.029494
1583774106839622163,594,1583774106839552792,base_link,-16.635531,2.098371,-8.435877,0.063521,0.813905,0.029086
1583774106840181913,595,1583774106840100125,base_link,-16.635485,2.081007,-8.450524,0.064045,0.814644,0.027406
1583774106840759578,596,1583774106840675567,base_link,-16.650226,2.041039,-8.393342,0.062466,0.813585,0.028869
1583774106841589996,597,1583774106841497589,base_link,-16.636189,2.06377,-8.269736,0.061355,0.813499,0.028255
1583774106842167569,598,1583774106842107017,base_link,-16.678453,2.071127,-8.309707,0.062331,0.814749,0.027845
1583774106842748196,599,1583774106842677843,base_link,-16.722881,2.150282,-8.376042,0.064118,0.812821,0.029092
1583774106843325998,600,1583774106843249229,base_link,-16.664064,2.081083,-8.411893,0.063376,0.814465,0.028038
1583774106844175843,601,1583774106844113057,base_link,-16.70678,2.139363,-8.392683,0.063096,0.814034,0.028241
1583774106844742137,602,1583774106844654896,base_link,-16.75686,1.964719,-7.927987,0.063132,0.813457,0.022662
1583774106845316764,603,1583774106845261176,base_link,-16.743143,2.101942,-7.772787,0.06378,0.813657,0.023777
1583774106846183004,604,1583774106846121987,base_link,-16.714515,2.102472,-7.751376,0.062524,0.812693,0.023757
1583774106846778502,605,1583774106846667452,base_link,-16.641522,2.158608,-7.918695,0.065234,0.814338,0.024616
1583774106847344142,606,1583774106847267303,base_link,-16.685738,2.184742,-7.81974,0.064729,0.813136,0.025255
1583774106848224578,607,1583774106848132794,base_link,-16.696478,2.110558,-8.085718,0.064844,0.815083,0.026469
1583774106848802746,608,1583774106848711048,base_link,-16.666689,2.129627,-8.17037,0.063071,0.81337,0.028093
1583774106849359864,609,1583774106849277960,base_link,-16.59331,2.056321,-8.386562,0.06295,0.813756,0.026768
1583774106850224152,610,1583774106850142470,base_link,-16.621727,2.090055,-8.389636,0.062835,0.813408,0.027605
1583774106850795796,611,1583774106850716920,base_link,-16.593597,2.090002,-8.328309,0.061897,0.81264,0.027603
1583774106851368664,612,1583774106851288296,base_link,-16.736983,2.142144,-8.397849,0.06437,0.813108,0.029514
1583774106852211756,613,1583774106852130666,base_link,-16.636166,2.033695,-8.412457,0.062428,0.813097,0.028646
1583774106852784817,614,1583774106852723962,base_link,-16.592912,2.122796,-8.431776,0.063732,0.813615,0.027821
1583774106853353520,615,1583774106853291378,base_link,-16.706452,2.155779,-8.435317,0.063853,0.814429,0.028667
1583774106854209096,616,1583774106854149881,base_link,-16.664633,2.116483,-8.391394,0.062332,0.812578,0.028218
1583774106854797317,617,1583774106854731681,base_link,-16.631329,2.137612,-8.915829,0.064427,0.81317,0.0336
1583774106855344229,618,1583774106855288679,base_link,-16.702608,2.178642,-8.854436,0.06368,0.813113,0.033388
1583774106856265985,619,1583774106856181206,base_link,-16.661582,2.073533,-8.870779,0.064274,0.81237,0.032543
1583774106856802373,620,1583774106856740694,base_link,-16.673675,2.112762,-8.912688,0.063572,0.81344,0.032954
1583774106857366083,621,1583774106857305207,base_link,-16.657322,2.152833,-8.995026,0.063222,0.814121,0.033355
1583774106858249059,622,1583774106858168980,base_link,-16.634006,2.08504,-8.683306,0.06471,0.813895,0.03051
1583774106858825169,623,1583774106858749348,base_link,-16.721065,2.051124,-8.515991,0.063752,0.814081,0.029061
1583774106859381994,624,1583774106859318983,base_link,-16.649876,2.121954,-8.389115,0.063352,0.814194,0.027195
1583774106860288812,625,1583774106860197060,base_link,-16.665555,2.064814,-8.357546,0.064548,0.81448,0.029553
1583774106860823115,626,1583774106860758732,base_link,-16.692539,2.132949,-8.474915,0.063705,0.813551,0.028644
1583774106861388563,627,1583774106861327288,base_link,-16.721133,2.080236,-8.348793,0.062674,0.814853,0.027412
