time,force,virtual
147.80449024,3.40578272135215,3.66343519482248
147.80549024,3.33939518712959,3.59676386653034
147.80649024,3.27259692252438,3.52909979110196
147.80749024,3.20584279344565,3.46050966225761
147.80849024,3.13949180342107,3.39106140178008
147.80949024,3.07374109050748,3.32082406894058
147.81049024,3.00854971100951,3.24986776841142
147.81149024,2.94370264801281,3.17826355680664
147.81249024,2.8789352429872,3.10608334794471
147.81349024,2.81400466255996,3.03339981697456
147.81449024,2.74877380460518,2.96028630351019
147.81549024,2.6832579710912,2.8868167138629
147.81649024,2.61755943959241,2.81306542252172
147.81749024,2.55174144804603,2.7391071730321
147.81849024,2.48566946565187,2.66501697836117
147.81949024,2.41897295398911,2.59087002091048
147.82049024,2.35126166447809,2.51674155230325
147.82149024,2.28235993935846,2.44270679307132
147.82249024,2.21232186381426,2.36884083239264
147.82349024,2.14137274397326,2.29521852798807
147.82449024,2.06995176664992,2.22191440631079
147.82549024,1.99869809202054,2.14900256320008
147.82649024,1.92820829919683,2.07655656507479
147.82749024,1.85876283367975,2.00464935082645
147.82849024,1.79032430177069,1.93335313455852
147.82949024,1.72277014185929,1.86273930925962
147.83049024,1.65607807902408,1.79287835156557
147.83149024,1.59036466031118,1.72383972773098
147.83249024,1.52586938427741,1.65569180093755
147.83349024,1.46294468202445,1.58850174004626
147.83449024,1.40202684689612,1.52233542994341
147.83549024,1.34354676251582,1.4572573835569
147.83649024,1.28789479348095,1.39333065571104
147.83749024,1.23548155715339,1.3306167588819
147.83849024,1.18666690452401,1.26917558100864
147.83949024,1.14150743656408,1.20906530542464
147.84049024,1.09958772427977,1.15034233307666
147.84149024,1.06012482013167,1.09306120706142
147.84249024,1.02224367137588,1.037274539635
147.84349024,0.985207080911261,0.983032941768805
147.84449024,0.948512703426721,0.930384955350241
147.84549024,0.911875218796694,0.879376988109118
147.84649024,0.875181805216112,0.830053251370732
147.84749024,0.83852843953115,0.782455700712894
147.84849024,0.802252563505981,0.736623979590437
147.84949024,0.766844641104225,0.692595366029102
147.85049024,0.732863884477044,0.650404722430203
147.85149024,0.700902886345295,0.610084448579594
147.85249024,0.671466045142354,0.571664437903188
147.85349024,0.644777671332152,0.535172037035778
147.85449024,0.620658222550676,0.500632008753632
147.85549024,0.598606890391097,0.468066498325408
147.85649024,0.578086377341823,0.437495003318635
147.85749024,0.558758274336017,0.408934346899221
147.85849024,0.540478543483764,0.382398654682812
147.85949024,0.523175628262887,0.357899335129673
147.86049024,0.506843994971078,0.335445063547297
147.86149024,0.491617695588814,0.315041769692253
147.86249024,0.477724327052656,0.2966926290135
147.86349024,0.465379102285778,0.280398057521272
147.86449024,0.454730987324586,0.266155710319633
147.86549024,0.445818125745496,0.253960483770962
147.86649024,0.438546672923544,0.243804521325528
147.86749024,0.43268597924277,0.235677222970905
